"";"be";"response";"ncomp";"rmse";"r_squared";"smpl";"model";"rmse_sd"
"181";"HEG";"biomass_g";2;76,9384209079603;0,635119730877767;1;"Model_4_CLIMALUI";0,787873458035082
"182";"HEG";"biomass_g";1;87,4438005890508;0,549939521981622;1;"Model_2_LUI";0,895451826808905
"183";"HEG";"biomass_g";1;51,4787944975923;0,758002999507384;3;"Model_3_RELUI";0,527158932528845
"184";"HEG";"biomass_g";3;64,210704983159;0,511250104277484;4;"Model_3_RELUI";0,657537672088065
"185";"HEG";"biomass_g";1;79,1488006417155;0,436548830313037;3;"Model_2_LUI";0,8105084368123
"186";"HEG";"biomass_g";1;80,4963279375234;0,510370692568927;4;"Model_4_CLIMALUI";0,824307537155351
"187";"HEG";"biomass_g";3;68,0001049121126;0,599771347290893;1;"Model_5_RECLIMALUI";0,696342310793532
"188";"HEG";"biomass_g";1;80,6943983577331;0,384129226050198;2;"Model_2_LUI";0,826335840115868
"189";"HEG";"biomass_g";3;49,3747709168452;0,746179809721804;3;"Model_5_RECLIMALUI";0,505613073973552
"190";"HEG";"biomass_g";3;64,210704983159;0,511250104277484;4;"Model_5_RECLIMALUI";0,657537672088065
"191";"HEG";"biomass_g";1;84,4808009827039;0,535783531025902;4;"Model_2_LUI";0,86510978549249
"192";"HEG";"biomass_g";1;70,795642552618;0,529240154934409;2;"Model_5_RECLIMALUI";0,72496948928121
"193";"HEG";"biomass_g";3;69,4334033516985;0,661813335319487;1;"Model_3_RELUI";0,711019734435275
"194";"HEG";"biomass_g";3;68,3213902066036;0,504352891633995;2;"Model_3_RELUI";0,699632372546804
"195";"HEG";"biomass_g";1;71,5105459416978;0,670431445281568;1;"Model_0_RE";0,732290323250354
"196";"HEG";"biomass_g";2;68,7309983830409;0,527314430978164;2;"Model_0_RE";0,703826888194521
"197";"HEG";"biomass_g";1;81,1611492646982;0,387902205493647;2;"Model_4_CLIMALUI";0,831115515169915
"198";"HEG";"biomass_g";1;70,0004697312149;0,500151199253545;3;"Model_4_CLIMALUI";0,716826671256859
"199";"HEG";"biomass_g";1;72,6592729504268;0,598461231415184;5;"Model_0_RE";0,744053646568209
"200";"HEG";"biomass_g";3;68,3213902066036;0,504352891633995;2;"Model_1_RE";0,699632372546804
"201";"HEG";"biomass_g";1;51,4787944975923;0,758002999507384;3;"Model_1_RE";0,527158932528845
"202";"HEG";"biomass_g";1;80,0475604354211;0,346064232821915;5;"Model_4_CLIMALUI";0,819712017783332
"203";"HEG";"biomass_g";2;77,4118351993863;0,507637306792871;5;"Model_1_RE";0,79272136822699
"204";"HEG";"biomass_g";2;79,1295913452387;0,63272896205741;5;"Model_3_RELUI";0,810311727617297
"205";"HEG";"biomass_g";3;69,4334033516985;0,661813335319487;1;"Model_1_RE";0,711019734435275
"206";"HEG";"biomass_g";2;79,1295913452387;0,63272896205741;5;"Model_5_RECLIMALUI";0,810311727617297
"207";"HEG";"biomass_g";1;91,6314249886516;0,461680096088945;5;"Model_2_LUI";0,938334408459659
"208";"HEG";"biomass_g";3;50,7924948157875;0,7640528786039;3;"Model_0_RE";0,520131009455161
"209";"HEG";"biomass_g";1;73,584366513925;0,510502307321543;4;"Model_0_RE";0,753526893565977
"210";"HEG";"biomass_g";3;68,1113900029491;0,562575666291108;4;"Model_1_RE";0,697481904878131
"211";"HEG";"cover_bare_soil_pc";3;7,05375163875018;0,429599360039133;1;"Model_5_RECLIMALUI";0,72573079512375
